iter	RMSE
0	260.7289685
1	256.8176791
2	252.2989671
3	248.3770212
4	244.0312232
5	240.0139113
6	235.5700834
7	231.0399422
8	226.8385507
9	222.8695974
10	219.449681
11	215.916616
12	212.4016264
13	208.9691651
14	205.1132029
15	202.1804035
16	198.5159721
17	195.1466421
18	192.1034024
19	188.8087563
20	185.9126374
21	182.7289616
22	179.5882088
23	176.561129
24	173.5059328
25	170.6122039
26	167.8646031
27	164.896351
28	162.2130252
29	159.6450848
30	157.1017345
31	154.8265923
32	152.2124254
33	149.5113244
34	147.3148116
35	144.6760166
36	142.2746064
37	140.2886977
38	138.2067567
39	136.0282415
40	134.0200857
41	131.7715328
42	129.6266239
43	127.4897139
44	125.3013628
45	123.5397779
46	121.551461
47	119.9017813
48	118.0339068
49	116.2012097
50	114.4412016
51	112.5953526
52	110.8079432
53	109.3366095
54	107.7128511
55	106.2140479
56	104.6806494
57	103.0928516
58	101.5831562
59	100.1437252
60	98.55043452
61	96.93780741
62	95.6173716
63	94.14822902
64	92.69366218
65	91.2829925
66	90.01151285
67	88.75421177
68	87.47232004
69	86.321134
70	84.8887589
71	83.83099753
72	82.56081053
73	81.54791183
74	80.40335038
75	79.17176615
76	78.00860672
77	76.94538149
78	75.82211248
79	74.86689937
80	73.89497948
81	72.76669003
82	71.69037648
83	70.67985719
84	69.66744214
85	68.71968501
86	67.83076557
87	66.87950102
88	65.98740117
89	65.18249667
90	64.25366638
91	63.39117776
92	62.48965748
93	61.62243031
94	60.8037777
95	59.9490342
96	59.09456896
97	58.24137044
98	57.51456187
99	56.67308209
100	55.86744357
101	55.08758606
102	54.40469856
103	53.77773866
104	53.03257564
105	52.35707968
106	51.62095588
107	50.92833736
108	50.16996469
109	49.45848435
110	48.76880117
111	48.09851402
112	47.5643429
113	46.85191736
114	46.24540982
115	45.67294741
116	45.23118149
117	44.75142562
118	44.33338223
119	43.77477689
120	43.31077517
121	42.86154479
122	42.43013866
123	41.94008115
124	41.45792684
125	40.96760573
126	40.48462865
127	40.03238947
128	39.56320196
129	39.06454173
130	38.65121108
131	38.21239745
132	37.79520276
133	37.37657594
134	36.90378478
135	36.5796621
136	36.17425116
137	35.83713152
138	35.45566689
139	35.12116219
140	34.73095047
141	34.36686174
142	34.01801238
143	33.58454674
144	33.19790553
145	32.86043272
146	32.53493797
147	32.18648698
148	31.89688701
149	31.56588028
150	31.24298217
151	30.97304281
152	30.70599933
153	30.34562369
154	30.05838267
155	29.75115862
156	29.4391658
157	29.17379151
158	28.84505259
159	28.58876354
160	28.31430771
161	28.05664261
162	27.85008625
163	27.60418827
164	27.36125923
165	27.11979725
166	26.94922652
167	26.70475687
168	26.47095617
169	26.23219703
170	25.98414543
171	25.71258733
172	25.51666718
173	25.32101672
174	25.08459624
175	24.89401271
176	24.63951803
177	24.46688272
178	24.25338944
179	24.07614059
180	23.87779822
181	23.69793841
182	23.48629677
183	23.262952
184	23.10085035
185	22.91722104
186	22.75013327
187	22.54823493
