iter	RMSE
0	260.8981529
1	253.955478
2	247.2178331
3	240.7878673
4	234.2800664
5	227.2384348
6	221.9552439
7	215.9884537
8	211.0538789
9	205.7814064
10	200.277642
11	195.2810655
12	190.3979113
13	185.7025678
14	180.6626579
15	176.2367644
16	171.4330232
17	167.1089595
18	162.7456901
19	158.7405482
20	154.4660305
21	150.9765739
22	146.7318534
23	143.5408655
24	139.7512009
25	136.633317
26	133.2421488
27	129.6662884
28	126.6807102
29	123.9856327
30	120.8041326
31	118.0865562
32	115.132215
33	112.7256104
34	110.372953
35	107.8753769
36	105.4833294
37	103.1795892
38	101.0242643
39	98.97057758
40	97.23745485
41	95.08818347
42	93.27462363
43	91.24730451
44	89.24643241
45	87.22293769
46	85.13981876
47	83.59983387
48	81.7616495
49	80.1363977
50	78.24780326
51	76.52334417
52	74.98812117
53	73.30827095
54	71.87408659
55	70.52548751
56	69.24766807
57	67.89764034
58	66.5022338
59	65.02191622
60	63.90265216
61	62.68416469
62	61.57494879
63	60.37576624
64	59.08937098
65	58.0784293
66	56.99157489
67	55.81143666
68	54.97796126
69	54.08676187
70	53.25621899
71	52.14162855
72	51.11922063
73	50.11343204
74	49.46691749
75	48.55633233
76	47.67925821
77	46.81402576
78	45.96364299
79	45.14307624
80	44.50633383
81	43.71735881
82	42.9285952
83	42.14365793
84	41.40763323
85	40.65596341
86	40.17104028
87	39.4621893
88	38.91256027
89	38.36458984
90	37.82082405
91	37.29518848
92	36.83027858
93	36.28399213
94	35.80651778
95	35.28651163
96	34.88782604
97	34.34241406
98	33.88972634
99	33.43362766
100	32.91736929
101	32.36691635
102	31.87292811
103	31.35604845
104	30.86374604
105	30.52969969
106	30.14694171
107	29.73465155
108	29.39333659
109	29.01445766
110	28.60991235
111	28.20701844
112	27.84946947
113	27.54352542
114	27.21106359
115	26.98875315
116	26.73150348
117	26.48424125
118	26.27207068
119	25.99230258
120	25.6999205
121	25.45514551
122	25.15267219
123	24.94087416
124	24.64353677
125	24.37929734
126	24.10638436
127	23.89452639
128	23.68832656
129	23.4483246
130	23.2722935
131	23.06597645
132	22.85613723
133	22.64343859
134	22.45891233
135	22.27433916
136	22.12327565
137	21.91617674
138	21.72137605
139	21.51736961
140	21.39678894
141	21.2279433
142	21.03548309
143	20.9046765
144	20.74995332
145	20.52089802
146	20.39269585
147	20.26088438
148	20.05957919
149	19.95337299
150	19.84203298
151	19.62608012
152	19.45510114
153	19.31954992
154	19.17044009
155	19.02930807
156	18.88476953
157	18.65660862
158	18.45614478
159	18.28466879
160	18.15941365
